composition,exact_match_found,close_analogue_found,novelty_score_0_5,novelty_class,prior_art_summary,source_urls,recommendation
Na3SbSe2S2,False,False,4,Novel Composition,no exact match found in searched sources,"https://www.sciencedirect.com/science/article/abs/pii/S0272884224047163, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.acs.org/doi/10.1021/acs.inorgchem.3c01799, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
Na3P0.62As0.38S4,True,False,1,Known Benchmark,Exact composition found in literature. Exceptionally High Ionic Conductivity in Na3P0.62As0.38S4 with Improved Moisture Stability for Solid‐State Sodium‐Ion Batteries; Understanding the Ele...,"https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.201605561, https://www.osti.gov/biblio/1462492, https://www.me.psu.edu/dwang/publication/83.pdf",Exclude or treat as benchmark
Li2Sm2/3Cl4,False,False,4,Novel Composition,no exact match found in searched sources,"https://pubs.acs.org/doi/10.1021/acs.chemmater.4c01160, https://pubs.acs.org/doi/10.1021/acsami.4c07798, https://www.osti.gov/servlets/purl/1657953, https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202315512",Top priority for validation (Highly Novel)
Na3GdBr3I3,False,False,4,Novel Composition,no exact match found in searched sources,"https://pubs.rsc.org/en/content/articlepdf/2025/eb/d5eb00064e, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
Na3SbSe4,True,False,1,Known Benchmark,Exact composition found in literature. Scalable Synthesis of Selenide Solid-State Electrolytes for Sodium-Ion Batteries.; Improvement in ion transport in Na3PSe4–Na3SbSe4 by Sb substitution...,"https://www.osti.gov/servlets/purl/1266853, https://pubs.acs.org/doi/10.1021/jacs.5c05842, https://pubs.acs.org/doi/10.1021/acs.inorgchem.3c01799, http://link.springer.com/10.1007/s10853-017-1618-0",Exclude or treat as benchmark
Na3SbS3.75Se0.25,True,False,1,Known Benchmark,Exact composition found in literature. Grain-boundary-resistance-less Na3SbS4-Se solid electrolytes for all-solid-state sodium batteries; Understanding the Electrochemical Window of Solid-S...,"https://linkinghub.elsevier.com/retrieve/pii/S221128551930816X, https://pubs.acs.org/doi/10.1021/acsami.2c05090, https://www.osti.gov/servlets/purl/1866227, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012",Exclude or treat as benchmark
Li6PS5Cl,True,False,1,Known Benchmark,Exact composition found in literature. On the Feasibility of Pairing Pyrochlore Iron(III) Hydroxy Fluoride Cathode with Argyrodite Li6PS5Cl Solid‐State Electrolyte for Low‐Cost All‐Solid‐St...,"https://pubs.acs.org/doi/10.1021/acsami.8b15121, https://www.sciencedirect.com/science/article/pii/S1385894725042408, https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/batt.202400731, https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202506095",Exclude or treat as benchmark
Li2.7In0.7Hf0.3Cl6,False,False,4,Novel Composition,no exact match found in searched sources,"https://link.springer.com/10.1007/s10008-024-06180-2, https://pubs.acs.org/doi/10.1021/acssuschemeng.3c06652, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.rsc.org/en/content/articlepdf/2023/sc/d3sc02093b",Top priority for validation (Highly Novel)
LiZrFCl4,False,False,4,Novel Composition,no exact match found in searched sources,"https://ceder.berkeley.edu/publications/2025_KyuJung_Grace_LiMXCL4.pdf, https://pubmed.ncbi.nlm.nih.gov/42026068/, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
Na3YBr3I3,False,False,4,Novel Composition,no exact match found in searched sources,"https://pmc.ncbi.nlm.nih.gov/articles/PMC12913362/, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
Li3In0.5Sc0.5Cl6,True,False,1,Known Benchmark,Exact composition found in literature. Understanding the Electrochemical Window of Solid-State Electrolyte in Full Battery Application.; Machine Learning‐Assisted Property Prediction of Sol...,"https://www.ossila.com/products/lithium-indium-chloride-li3incl6-powder, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubmed.ncbi.nlm.nih.gov/38949968/, https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202304480",Exclude or treat as benchmark
Na3GdBr2I4 (Br2I4 mix tuned to C2/m),False,False,4,Novel Composition,no exact match found in searched sources,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10646287/, https://pubs.rsc.org/en/content/articlehtml/2025/cs/d5cs00358j, https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc02093b, https://pmc.ncbi.nlm.nih.gov/articles/PMC8442915/",Top priority for validation (Highly Novel)
Li3Er0.5Sc0.5Cl6,False,False,4,Novel Composition,no exact match found in searched sources,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10011600/, https://pubs.rsc.org/en/content/articlelanding/2024/ee/d4ee03289f, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
Li3YCl1.5Br4.5,False,False,4,Novel Composition,no exact match found in searched sources,"https://link.springer.com/10.1007/s10008-024-06180-2, https://www.sigmaaldrich.com/US/en/product/aldrich/940917, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubmed.ncbi.nlm.nih.gov/30216562/",Top priority for validation (Highly Novel)
Li3In0.5Er0.5Cl6,False,False,4,Novel Composition,no exact match found in searched sources,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11597872/, https://www.rsc.org/suppdata/d3/ta/d3ta01787g/d3ta01787g1.pdf, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
"Li3-xY1-xHfxCl6 (x=0.3, i.e. Li2.7Y0.7Hf0.3Cl6)",False,False,4,Novel Composition,no exact match found in searched sources,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11134378/, https://pubs.rsc.org/en/content/articlelanding/2023/ta/d3ta02781c, https://pubmed.ncbi.nlm.nih.gov/36662742/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10290651/",Top priority for validation (Highly Novel)
Li3InI6,False,False,4,Novel Composition,no exact match found in searched sources,"https://docs.nlr.gov/docs/fy22osti/83157.pdf, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://uspex-team.org/static/file/Dallakyan2026_JEC_Li3MX6.pdf, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
Li2ZrBiCl6 (approx. Li2.5Zr0.5Bi0.5Cl6),False,False,4,Novel Composition,no exact match found in searched sources,"https://iopscience.iop.org/article/10.1149/MA2023-0161081mtgabs, https://www.scribd.com/document/814060348/s41467-024-45258-3, https://iopscience.iop.org/article/10.1149/1945-7111/acc697, https://www.pkusam.com/uploads/upload/files/20251120/4c2aa6fc6acad72faac0f4679c57bda8.pdf",Top priority for validation (Highly Novel)
Na7P3Se11,True,False,1,Known Benchmark,Exact composition found in literature. Understanding the Electrochemical Window of Solid-State Electrolyte in Full Battery Application.; Solvation-tailored PVDF-based Solid-state Electrolyt...,"https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2020.00097/pdf, https://ceder.berkeley.edu/publications/2017_yan_superionics.pdf, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Exclude or treat as benchmark
Na0.7Zr0.3La0.7Cl4,False,False,4,Novel Composition,no exact match found in searched sources,"https://www.rsc.org/suppdata/d5/ee/d5ee03490f/d5ee03490f1.pdf, https://impact.ornl.gov/en/publications/laclsub3sub-based-sodium-halide-solid-electrolytes-with-high-ioni/, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202304480",Top priority for validation (Highly Novel)
Na2Zr0.7La0.3Cl6,False,False,4,Novel Composition,no exact match found in searched sources,"https://www.rsc.org/suppdata/d4/ta/d4ta07957d/d4ta07957d1.pdf, https://pubs.rsc.org/en/content/articlelanding/2025/ta/d4ta07957d, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
Li2HfCl6,True,False,1,Known Benchmark,Exact composition found in literature. Deciphering the Role of Fluorination in Dual‐Halogen Electrolytes for All‐Solid‐State Batteries: A Case Study of New Li2HfCl6−xFx Solid Electrolytes; ...,"https://uwaterloo.ca/nazar-group/news/recent-paper-deciphering-role-fluorination-dual-halogen, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubmed.ncbi.nlm.nih.gov/40831399/, https://onlinelibrary.wiley.com/doi/10.1002/anie.202509209",Exclude or treat as benchmark
Li3InF6,False,False,4,Novel Composition,no exact match found in searched sources,"https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://www.eng.uwo.ca/nanoenergy/publications/2021/pdf/Shumin-2021-AEM.pdf, https://carepapers.s3-ap-southeast-1.amazonaws.com/2024/2024-11-21-panchal-halides-acsenergylett.pdf, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428",Top priority for validation (Highly Novel)
